Número;Tipo;Grupo Base;Tensão Base (kV);Nome Barra;Grupo Limite;Limite Tensão (p.u.);Estado Operativo;Visualização;Tensão (p.u.);Tensão (kV);Ângulo (graus);Geração Ativa (MW);Geração Reativa (Mvar);Geração Reativa Mínima (Mvar);Geração Reativa Máxima (Mvar);Barra Controlada;Carga Ativa (MW);Carga Reativa (Mvar);Shunt (Mvar);Injeção Ativa (MW);Injeção Reativa (Mvar);Área;VDef (p.u.)
232;0 - PQ;F;1;PELICANO13;1;0,950-1,050;Ligado;0 - Normal;1,051;1,1;-20;;;;;;;;;;;2;1
1230;0 - PQ;F;1;PELICANFIC;1;0,950-1,050;Ligado;0 - Normal;1,051;1,1;-20;;;;;;;;;;;2;1
231;0 - PQ;A;440;PELICAN440;1;0,950-1,050;Ligado;0 - Normal;1,048;461,1;-20;;;;;;;;;;;2;1
230;0 - PQ;B;230;PELICAN230;1;0,950-1,050;Ligado;0 - Normal;0,999;229,8;-18;;;;;;;;;;;2;1
160;0 - PQ;C;138;PARDAL-138;1;0,950-1,050;Ligado;0 - Normal;0,978;135;-24;;;;;;;;40;;;1;1
161;0 - PQ;E;69;PARDAL--69;1;0,950-1,050;Ligado;0 - Normal;0,974;67,2;-25;;;;;;40;10;;;;1;1
210;0 - PQ;B;230;GAVIAO-230;1;0,950-1,050;Ligado;0 - Normal;0,977;224,7;-3,7;;;;;;;;;;;2;1
21;1- PV;F;1;GAVIAO--13;0;0,800-1,200;Ligado;0 - Normal;0,96;1;1,52;250;-36,9;-90;90;;;;;;;2;1,03
260;0 - PQ;B;230;GARCA--230;1;0,950-1,050;Ligado;0 - Normal;0,966;222,2;-12;;;;;;120;50;50;;;2;1
1130;0 - PQ;F;1;CURIO--FIC;1;0,950-1,050;Ligado;0 - Normal;1,049;1;-16;;;;;;;;;;;1;1
131;0 - PQ;A;440;CURIO--CS5;1;0,950-1,050;Ligado;0 - Normal;1,039;457,2;-17;;;;;;;;-80;;;1;1
132;0 - PQ;A;440;CURIO--440;1;0,950-1,050;Ligado;0 - Normal;1,047;460,7;-16;;;;;;;;;;;1;1
130;0 - PQ;B;230;CURIO--230;1;0,950-1,050;Ligado;0 - Normal;1,01;232,3;-19;;;;;;;;;;;1;1
135;0 - PQ;C;138;CURIO--138;1;0,950-1,050;Ligado;0 - Normal;0,962;132,8;-25;;;;;;110;40;;;;1;1
134;0 - PQ;E;69;CURIO---69;1;0,950-1,050;Ligado;0 - Normal;0,979;67,6;-25;;;;;;;;;;;1;1
133;0 - PQ;F;1;CURIO---13;1;0,950-1,050;Ligado;0 - Normal;1,049;1;-16;;;;;;;;;;;1;1
240;0 - PQ;B;230;CORUJA-230;1;0,950-1,050;Ligado;0 - Normal;0,986;226,8;-20;;;;;;90;10;;;;2;1
190;0 - PQ;A;440;CHOPIN-440;1;0,950-1,050;Ligado;0 - Normal;1,05;462;-22;;;;;;;;-80;;;1;1
191;0 - PQ;C;138;CHOPIN-138;1;0,950-1,050;Ligado;0 - Normal;1,017;140,3;-28;;;;;;90;20;;;;1;1
120;0 - PQ;B;230;CARDEAL230;1;0,950-1,050;Ligado;0 - Normal;0,996;229,1;-16;;;;;;;;;;;1;1
121;0 - PQ;D;88;CARDEAL-88;1;0,950-1,050;Ligado;0 - Normal;0,968;85,2;-21;;;;;;120;40;;;;1;1
100;0 - PQ;B;230;CANARIO230;1;0,950-1,050;Ligado;0 - Normal;1,023;235,3;-5,6;;;;;;;;;;;1;1
10;2 - Referência;F;1;CANARIO-18;0;0,800-1,200;Ligado;0 - Normal;1,015;1;0;383,3;-12,4;-140;140;;;;;;;1;1,03
1180;0 - PQ;F;1;BICUDO-FIC;1;0,950-1,050;Ligado;0 - Normal;1,016;1;-27;;;;;;;;;;;1;1
180;0 - PQ;A;440;BICUDO-440;1;0,950-1,050;Ligado;0 - Normal;1,042;458,5;-22;;;;;;;;-40;;;1;1
181;0 - PQ;E;69;BICUDO--69;1;0,950-1,050;Ligado;0 - Normal;1,016;70,1;-27;;;;;;130;40;;;;1;1
182;0 - PQ;F;1;BICUDO--13;1;0,950-1,050;Ligado;0 - Normal;1,018;1;-27;;;;;;;;10;;;1;1
170;0 - PQ;C;138;AZULAO-138;1;0,950-1,050;Ligado;0 - Normal;0,979;135,1;-24;;;;;;;;;;;1;1
171;0 - PQ;E;69;AZULAO--69;1;0,950-1,050;Ligado;0 - Normal;0,969;66,9;-26;;;;;;40;10;;;;1;1
1220;0 - PQ;F;1;ARARA--FIC;1;0,950-1,050;Ligado;0 - Normal;1,048;1;-14;;;;;;;;;;;2;1
221;0 - PQ;A;440;ARARA--CS5;1;0,950-1,050;Ligado;0 - Normal;1,034;455;-13;;;;;;;;-80;;;2;1
222;0 - PQ;A;440;ARARA--440;1;0,950-1,050;Ligado;0 - Normal;1,045;459,8;-14;;;;;;;;;;;2;1
220;0 - PQ;B;230;ARARA--230;1;0,950-1,050;Ligado;0 - Normal;0,995;228,8;-11;;;;;;;;;;;2;1
224;0 - PQ;C;138;ARARA--138;1;0,950-1,050;Ligado;0 - Normal;0,961;132,6;-17;;;;;;110;30;;;;2;1
223;0 - PQ;F;1;ARARA---13;1;0,950-1,050;Ligado;0 - Normal;1,048;1;-14;;;;;;;;;;;2;1
